"token","avg_rating","modifier"
"1",3.65413533834586,0
"10",4.11805555555556,1
"10 10",4.93333333333333,1
"100",4.08695652173913,1
"100 percent",4.43478260869565,1
"2",3.44390243902439,0
"2 day",4.33333333333333,1
"2 day ship",4.22222222222222,1
"20",3.32432432432432,0
"3",3.28481012658228,0
"30",3.93181818181818,1
"30 minute",4.77777777777778,1
"3g",3.375,0
"4",3.60194174757282,0
"5",3.98550724637681,1
"5 minute",1.8,-1
"5stars",4.83333333333333,1
"6",3.75925925925926,0
"6 song",4.2,1
"6 time",4.33333333333333,1
"60",4.65217391304348,1
"60 3",5,1
"7",2.73170731707317,-1
"90",3.04347826086957,-1
"ability",4.37777777777778,1
"absolute",4.29411764705882,1
"access",3.75471698113208,0
"accessible",4.4,1
"accord",4.5625,1
"account",3.35177865612648,0
"activity",4.22222222222222,1
"ad",3.7168458781362,0
"ad free",4.5,1
"ad's",4.33333333333333,1
"add",4.05909090909091,1
"add artist",4.71428571428571,1
"add free",4.625,1
"addict",4.73333333333333,1
"addition",4.33333333333333,1
"additional",3.5,0
"adjust",3.76470588235294,0
"adore",4.88888888888889,1
"advantage",4.10526315789474,1
"advertise",3.63793103448276,0
"advertisement",3.96774193548387,1
"afford",4.17647058823529,1
"affordable",4.75,1
"afternoon",4.30769230769231,1
"age",4.46428571428571,1
"ago",3.7972972972973,0
"air",4.4,1
"alarm",4.63265306122449,1
"alarm clock",5,1
"album",4.11111111111111,1
"album's",4.75,1
"alexa",4.15384615384615,1
"alright",3.33333333333333,0
"alternative",3.74074074074074,0
"amaze",4.86551264980027,1
"amaze amaze",5,1
"amaze love",5,1
"amaze selection",4.875,1
"amaze spotify",4.77777777777778,1
"amazingly",4.875,1
"amazon",3.59090909090909,0
"amazon cloud",3.86206896551724,1
"amazon mp3",3.93023255813953,1
"amazon prime",4.05882352941176,1
"amazon prime membership",4.61538461538461,1
"amazon store",1.38461538461538,-1
"amazon's",3.05882352941176,0
"amount",4.04494382022472,1
"android",3.41538461538462,0
"android device",3.65,0
"android phone",3.61016949152542,0
"annoy",3.31550802139037,0
"annoy commercial",4.83333333333333,1
"answer",4.38095238095238,1
"anymore",3.30263157894737,0
"anytime",4.84347826086957,1
"apple",3.93220338983051,1
"application",3.74436090225564,0
"approve",5,1
"array",4.88888888888889,1
"art",3.58333333333333,0
"artist",4.4043392504931,1
"artist album",4.58333333333333,1
"artist genre",4.6,1
"artist song",4.64285714285714,1
"artist station",4.875,1
"asleep",4.875,1
"aspect",4.42857142857143,1
"assortment",4.9,1
"attempt",1.73684210526316,-1
"attention",4.1,1
"audio",3.82758620689655,0
"audio quality",4.57142857142857,1
"authenticate",1,-1
"availability",4.4,1
"awesome",4.87657707076248,1
"awesome awesome",5,1
"awesome free",5,1
"awesome happy",5,1
"awesome love",4.86792452830189,1
"awesome pandora",4.92857142857143,1
"awesome radio",5,1
"awesome sauce",5,1
"awesome selection",4.88888888888889,1
"awesome song",5,1
"awesome spotify",4.90909090909091,1
"awesomeness",4.87878787878788,1
"awful",1.33333333333333,-1
"awhile",4.23333333333333,1
"baby",4.66666666666667,1
"background",4.25,1
"bad",2.87769784172662,-1
"band",4.34285714285714,1
"bar",3.16666666666667,0
"base",4.48421052631579,1
"basic",3.05882352941176,0
"basically",3.51724137931034,0
"battery",3.23943661971831,0
"beach",4.54545454545455,1
"beast",5,1
"beat",4.625,1
"beat pandora",4.75,1
"beatles",4.44444444444444,1
"beautiful",4.77142857142857,1
"bed",4.70588235294118,1
"begin",4.05714285714286,1
"benefit",4.07575757575758,1
"bet",4.6,1
"bill",3.95454545454545,1
"bio",4.44444444444444,1
"bite",3.96842105263158,1
"blackberry",2.97674418604651,-1
"bless",4.94444444444444,1
"blue",3.75,0
"blue screen",1.16666666666667,-1
"blue tooth",4.57142857142857,1
"bluetooth",4.25423728813559,1
"bluetooth speaker",4.33333333333333,1
"bob",4.66666666666667,1
"body",4.75,1
"bomb",4.85185185185185,1
"bonus",4.64705882352941,1
"book",3.9811320754717,1
"boom",4.5,1
"boot",4.125,1
"bore",4.77777777777778,1
"bose",4.88235294117647,1
"box",4.13793103448276,1
"boy",4.8125,1
"bread",5,1
"break",3.41269841269841,0
"brilliant",5,1
"bring",4.27631578947368,1
"broad",4.42857142857143,1
"broadcast",4.1,1
"brother",4.42857142857143,1
"brown",4.71428571428571,1
"browse",3.64864864864865,0
"browser",3.07142857142857,0
"buck",4.3,1
"buffer",2.81632653061224,-1
"bug",2.47727272727273,-1
"buggy",2.09090909090909,-1
"build",4.40845070422535,1
"bunch",4.1875,1
"business",4.4375,1
"button",3.37735849056604,0
"buy",3.65263157894737,0
"bye",4.5609756097561,1
"bye pandora",4.55555555555556,1
"cable",4.71428571428571,1
"call",3.57575757575758,0
"calm",4.84615384615385,1
"cancel",2.31481481481481,-1
"capability",4.14285714285714,1
"car",4.52,1
"car stereo",5,1
"card",2.40909090909091,-1
"care",3.58333333333333,0
"carry",4.75757575757576,1
"catch",4.375,1
"category",4.21212121212121,1
"cd",4.29787234042553,1
"cd's",4.61904761904762,1
"cell",4.16176470588235,1
"cell phone",4.38297872340426,1
"chance",3.64864864864865,0
"change",3.68421052631579,0
"change station",4.16666666666667,1
"changer",4.66666666666667,1
"channel",4.40833333333333,1
"charge",3.25862068965517,0
"cheap",4.19444444444444,1
"check",3.72413793103448,0
"chill",4.6,1
"choice",4.52409638554217,1
"choice easy",5,1
"choice love",5,1
"choose",4.49307958477509,1
"choose song",4.625,1
"chore",4.18181818181818,1
"chris",4.85714285714286,1
"christian",4.67164179104478,1
"christmas",4.52307692307692,1
"christmas song",4.33333333333333,1
"city",4.45161290322581,1
"clarity",4.53846153846154,1
"classic",4.1864406779661,1
"classic rock",4.76923076923077,1
"classical",4.23728813559322,1
"clean",4.61333333333333,1
"click",3.3495145631068,0
"clock",5,1
"close",3.38095238095238,0
"cloud",3.60330578512397,0
"cloud player",3.96428571428571,1
"cloud storage",4.6,1
"clunky",2.46153846153846,-1
"coast",4.72222222222222,1
"collection",4.26582278481013,1
"combine",4.3,1
"comedy",4.5,1
"comfortable",4.66666666666667,1
"command",4.14285714285714,1
"comment",4.36363636363636,1
"commercial",4.16390728476821,1
"commercial free",4.62745098039216,1
"commercial interruption",4.63636363636364,1
"commericals",4.61538461538461,1
"companion",4.5625,1
"compare",3.5593220338983,0
"compete",1.81818181818182,-1
"complain",3.90909090909091,1
"complaint",4.29126213592233,1
"complete",4.03846153846154,1
"completely",3.0952380952381,0
"completely free",4.85714285714286,1
"complicate",2,-1
"compliment",4.83333333333333,1
"computer",4.03030303030303,1
"con",3.9047619047619,1
"concept",3.6,0
"confuse",2.78260869565217,-1
"connect",3.42857142857143,0
"connection",3.51515151515152,0
"constantly",2.82954545454545,-1
"contemporary",4.14285714285714,1
"content",3.10588235294118,0
"continue",3.65753424657534,0
"continuous",4.1,1
"control",3.76923076923077,0
"convenience",4.6,1
"convenient",4.53947368421053,1
"cook",4.9,1
"cool",4.62116991643454,1
"correct",2.44444444444444,-1
"correctly",1.66666666666667,-1
"cost",4.11363636363636,1
"count",4.25,1
"countless",4.42857142857143,1
"country",4.24390243902439,1
"couple",3.80701754385965,0
"cover",3.90909090909091,1
"crash",2.47552447552448,-1
"crash constantly",1.44444444444444,-1
"crazy",3.94285714285714,1
"create",4.46926229508197,1
"create playlists",4.31034482758621,1
"create station",4.41666666666667,1
"credit",2.79166666666667,-1
"crisp",4.57142857142857,1
"crystal",4.90909090909091,1
"cumbersome",2.7,-1
"current",3.76923076923077,0
"custom",4.58730158730159,1
"custom radio",4.85714285714286,1
"custom station",4.38709677419355,1
"customer",3.04040404040404,-1
"customizable",4.15384615384615,1
"customize",4.73267326732673,1
"customize station",4.85714285714286,1
"cut",3.6,0
"da",4.875,1
"dad",4.25,1
"daily",4.68888888888889,1
"daily basis",4.375,1
"dance",4.76595744680851,1
"date",3.75,0
"datum",3.73333333333333,0
"daughter",4.60377358490566,1
"daughter love",4.33333333333333,1
"day",4.41025641025641,1
"day love",4.83333333333333,1
"day ship",4.3,1
"dc",4.09090909090909,1
"deal",4.08988764044944,1
"decade",4.85714285714286,1
"decent",3.40909090909091,0
"decent selection",3.57142857142857,0
"decide",3.61016949152542,0
"decision",4.55555555555556,1
"defiantly",5,1
"delete",2.42690058479532,-1
"delight",5,1
"deliver",3.82352941176471,0
"delivery",3.9,1
"depend",4.66666666666667,1
"dependable",4.75,1
"describe",4.31034482758621,1
"design",2.975,-1
"desire",4.04761904761905,1
"desk",4.44444444444444,1
"desktop",3.91666666666667,1
"detail",3.83333333333333,0
"device",3.81359223300971,0
"die",4.30769230769231,1
"difficult",2.56716417910448,-1
"dig",4.21428571428571,1
"digital",3.87096774193548,1
"dinner",4.66666666666667,1
"directly",4.0625,1
"disappoint",2.78321678321678,-1
"discount",4.66666666666667,1
"discover",4.5241935483871,1
"discovery",4.9,1
"dislike",4.27710843373494,1
"disney",4.71428571428571,1
"display",3.14285714285714,0
"diverse",4.46153846153846,1
"diversity",4.75,1
"dj",4.38235294117647,1
"dollar",3.83653846153846,0
"dollar 10",3.95652173913043,1
"dope",4.92857142857143,1
"dot",4.875,1
"downfall",4.3,1
"download",3.51184433164129,0
"download song",3.72727272727273,0
"downside",4.42857142857143,1
"drain",2.90909090909091,-1
"draw",4.85714285714286,1
"drawback",4.42857142857143,1
"dream",4.5,1
"drive",3.75308641975309,0
"droid",3.0625,0
"drop",3.54166666666667,0
"due",3.4375,0
"ear",4.37142857142857,1
"earbuds",4.125,1
"ease",4.6031746031746,1
"easily",4.32876712328767,1
"east",4.375,1
"east coast",4.83333333333333,1
"easy",4.63247232472325,1
"easy access",4.39285714285714,1
"easy download",5,1
"echo",4.09230769230769,1
"eclectic",4.64285714285714,1
"ed",4.75,1
"eh",3.06666666666667,0
"electronic",4.64705882352941,1
"elvis",4.55555555555556,1
"email",3.15079365079365,0
"encourage",4.42857142857143,1
"endless",4.86206896551724,1
"english",1.83333333333333,-1
"enjoy",4.64125122189638,1
"enjoy create",4.85714285714286,1
"enjoy iheartradio",4.4,1
"enjoy list",4.83333333333333,1
"enjoy pandora",4.69565217391304,1
"enjoy spotify",4.91666666666667,1
"enjoyable",4.71186440677966,1
"enjoyment",4.83333333333333,1
"entertain",4.88888888888889,1
"entertainment",4.64516129032258,1
"entire",3.94117647058824,1
"entire album",4.61538461538461,1
"epic",4.58333333333333,1
"equalizer",4,1
"era",4.81818181818182,1
"error",1.90666666666667,-1
"error message",1.69230769230769,-1
"esp",4.66666666666667,1
"event",4.66666666666667,1
"everyday",4.8,1
"exact",4.16666666666667,1
"excellent",4.81546134663342,1
"excellent choice",4.85714285714286,1
"excellent excellent",5,1
"excellent love",5,1
"excellent product",4.92307692307692,1
"excellent selection",4.9,1
"exceptional",5,1
"excite",3.84444444444444,0
"exercise",4.70588235294118,1
"exist",3.62068965517241,0
"expand",4.4,1
"expect",3.69791666666667,0
"expectation",4.15789473684211,1
"expensive",3.63157894736842,0
"experience",3.86065573770492,1
"explicit",3.46428571428571,0
"explore",4.48387096774194,1
"expose",4.625,1
"extensive",4.41176470588235,1
"extra",3.88235294117647,1
"extremely",3.60526315789474,0
"fabulous",4.91428571428571,1
"facebook",3.65142857142857,0
"facebook account",3.79310344827586,0
"fair",2.8125,-1
"fairly",3.1875,0
"fall",4.42424242424242,1
"fall asleep",5,1
"familiar",4.38709677419355,1
"family",4.68376068376068,1
"family love",4.9,1
"fan",4.04587155963303,1
"fantastic",4.8252427184466,1
"fantastic love",5,1
"fashion",4.125,1
"fast",4.30208333333333,1
"fast download",5,1
"fast forward",4.125,1
"fault",4.3125,1
"fave",4.68181818181818,1
"faves",5,1
"favorite",4.76479873717443,1
"favorite artist",4.74285714285714,1
"favorite band",4.5,1
"favorite channel",4.125,1
"favorite genre",4.89473684210526,1
"favorite local",4.1,1
"favorite radio",4.75,1
"favorite radio station",4.76190476190476,1
"favorite singer",4.7,1
"favorite song",4.78636363636364,1
"favorite station",4.67272727272727,1
"favorite talk",5,1
"favorite tune",5,1
"favorite type",4.5,1
"feature",4.20384615384615,1
"fee",4.06122448979592,1
"feel",4.10924369747899,1
"figure",3.29565217391304,0
"file",2.56666666666667,-1
"fill",4.375,1
"finally",4.12345679012346,1
"fine",3.24305555555556,0
"finger",4.61290322580645,1
"finger tip",4.86363636363636,1
"fingertip",4.92857142857143,1
"fire",3.65359477124183,0
"fire hd",3.73267326732673,0
"fire hd 7",4.14285714285714,1
"fire love",5,1
"fit",4.55769230769231,1
"fix",2.62272727272727,-1
"flaw",3.4,0
"flawless",4.5,1
"flawlessly",4.85714285714286,1
"flow",4.53846153846154,1
"fly",5,1
"focus",4.44444444444444,1
"folder",3.78947368421053,0
"folk",3.64705882352941,0
"follow",4.2156862745098,1
"food",5,1
"force",2.44615384615385,-1
"force close",2.26666666666667,-1
"forever",3.40816326530612,0
"forget",4.01470588235294,1
"form",4.61538461538461,1
"format",4.02564102564103,1
"forward",4.04166666666667,1
"freak",4.23809523809524,1
"free",4.35387547649301,1
"free 2",4.83333333333333,1
"free download",4.15384615384615,1
"free love",4.83333333333333,1
"free pandora",4.23076923076923,1
"free radio",4.33333333333333,1
"free service",4.16666666666667,1
"free song",3.77272727272727,0
"free version",4.19811320754717,1
"freebie",4.14285714285714,1
"freedom",4.06666666666667,1
"freeze",2.84313725490196,-1
"frequently",3.88888888888889,1
"friend",4.58426966292135,1
"friendly",3.54310344827586,0
"front",4.125,1
"frustrate",2.29487179487179,-1
"fun",4.58411214953271,1
"function",3.30357142857143,0
"functionality",2.85714285714286,-1
"future",4.08,1
"galaxy",2.81132075471698,-1
"game",4.10852713178295,1
"garbage",1.11111111111111,-1
"geat",5,1
"genius",5,1
"genre",4.55369928400955,1
"genre artist",4.83333333333333,1
"genre's",4.90909090909091,1
"gift",4.26315789473684,1
"girl",4.59090909090909,1
"glad",4.64485981308411,1
"glitch",3.27777777777778,0
"glitches",3.91891891891892,1
"glitchy",3.23076923076923,0
"god",4.25925925925926,1
"goody",5,1
"google",2.87735849056604,-1
"google play",2.66666666666667,-1
"gosh",4.83333333333333,1
"gospel",4.74285714285714,1
"gotta",4.70588235294118,1
"gotta love",4.88888888888889,1
"gr8",4.71428571428571,1
"granddaughter",4.875,1
"grandkids",4.83333333333333,1
"grandson",4.78571428571429,1
"gripe",3.5,0
"groove",4.83333333333333,1
"grow",4.75675675675676,1
"guess",3.09,0
"guy",3.81132075471698,0
"gym",4.76923076923077,1
"ha",5,1
"half",2.84375,-1
"hand",4.42647058823529,1
"handy",4.675,1
"happen",3.15789473684211,0
"happy",4.63520871143376,1
"happy happy",5,1
"happy happy happy",5,1
"happy love",5,1
"hard",3.21686746987952,0
"hard time",3.13333333333333,0
"hassle",3.70833333333333,0
"hate",2.70967741935484,-1
"hd",3.68376068376068,0
"hd 7",4.14285714285714,1
"hdx",4.0625,1
"head",3.88888888888889,1
"headphone",4.21052631578947,1
"hear",4.37070063694267,1
"hear station",5,1
"heart",4.64160401002506,1
"heart iheartradio",4.86666666666667,1
"heart radio",4.71102661596958,1
"heart radio love",5,1
"heartradio",4.46153846153846,1
"heaven",4.66666666666667,1
"helpful",4.38095238095238,1
"hey",4.04545454545455,1
"highly",4.85,1
"highly recommend",4.89506172839506,1
"hip",3.88461538461538,1
"hip hop",3.84,0
"hit",4.03061224489796,1
"hog",2.66666666666667,-1
"hold",3.8,0
"holiday",4.80952380952381,1
"home",4.47674418604651,1
"home computer",5,1
"home town",4.81818181818182,1
"homework",5,1
"honest",4.1,1
"honestly",4.52380952380952,1
"hook",4.65909090909091,1
"hop",3.88461538461538,1
"hope",3.53719008264463,0
"horizon",4.88888888888889,1
"horrible",1.78260869565217,-1
"hot",4.76923076923077,1
"hour",4.15789473684211,1
"house",4.61904761904762,1
"huge",4.33766233766234,1
"huge selection",4.94736842105263,1
"huge variety",4.875,1
"hundred",3.13636363636364,0
"husband",4.38297872340426,1
"idea",3.75257731958763,0
"idk",4.44444444444444,1
"iheartradio",4.53691275167785,1
"iheartradio iheartradio",4.92307692307692,1
"iheartradio love",4.85714285714286,1
"iheartradio station",4.85714285714286,1
"imagine",4.11111111111111,1
"impress",3.49056603773585,0
"impressive",4.83333333333333,1
"improve",3.96969696969697,1
"improvement",3.73076923076923,0
"include",4.02325581395349,1
"incredible",4.42307692307692,1
"individual",4.41935483870968,1
"individual song",4.35,1
"information",3.22727272727273,0
"ing",4.28571428571429,1
"inside",4.42857142857143,1
"inspire",5,1
"install",2.68062827225131,-1
"instantly",4.93333333333333,1
"interface",3.45454545454545,0
"internal",2.15,-1
"internal memory",1.66666666666667,-1
"internet",4.09282700421941,1
"internet connection",3.79411764705882,0
"internet radio",4.69117647058824,1
"internet radio station",5,1
"interrupt",3.25,0
"interruption",4.70588235294118,1
"interuptions",4.5,1
"introduce",4.625,1
"intrusive",3.3125,0
"intuitive",3.45833333333333,0
"invention",4.8,1
"iphone",3.97297297297297,1
"ipod",3.97916666666667,1
"irritate",3.21428571428571,0
"issue",3.48677248677249,0
"item",3.67391304347826,0
"itunes",3.81379310344828,0
"jam",4.76,1
"jazz",4.71621621621622,1
"jazz station",4.875,1
"job",4.62105263157895,1
"job amazon",4.85714285714286,1
"john",4.4,1
"joy",4.82352941176471,1
"junk",1.5625,-1
"katy",4.83333333333333,1
"katy perry",4.83333333333333,1
"kid",4.38834951456311,1
"kid love",5,1
"kill",3.31578947368421,0
"kinda",3.65384615384615,0
"kindle",3.82065217391304,0
"kindle fire",3.72210065645514,0
"kindle fire hd",3.65882352941176,0
"kindle fire hdx",4.25,1
"kindle fire love",5,1
"kitchen",4.71428571428571,1
"kool",4.875,1
"kudo",5,1
"la",4.35714285714286,1
"lack",3.3,0
